,가격등록일자,품목명,품종명,평균가격,등급명,유통단계별무게,유통단계별단위명,당일최저가격,당일최대가격,가격등록년도
160,2005-02-24,양배추,양배추,4125.0,무농약,1,포기,3000,5000,2005
161,2005-02-24,시금치,시금치,8060.0,유기농,1,kg,6500,9800,2005
162,2005-02-24,시금치,시금치,8500.0,무농약,1,kg,10500,9400,2005
163,2005-02-24,상추,적,1180.0,유기농,100,g,1180,1180,2005
164,2005-02-24,상추,적,1014.0,무농약,100,g,1050,990,2005
165,2005-02-24,상추,청,1160.0,유기농,100,g,1100,1190,2005
166,2005-02-24,상추,청,971.0,무농약,100,g,1050,990,2005
167,2005-02-24,오이,가시계통,3275.0,무농약,10,개,1350,5200,2005
168,2005-02-24,오이,다다기계통,8180.0,유기농,10,개,8180,8180,2005
169,2005-02-24,오이,다다기계통,7050.0,무농약,10,개,6100,8000,2005
170,2005-02-24,오이,다다기계통,9650.0,저농약,10,개,10420,5930,2005
171,2005-02-24,오이,취청,5320.0,무농약,10,개,1780,8860,2005
172,2005-02-24,호박,애호박,7849.0,무농약,1,개,11150,8930,2005
173,2005-02-24,호박,애호박,10720.0,저농약,1,개,10720,10720,2005
174,2005-02-24,토마토,토마토,5500.0,유기농,1,kg,5000,6000,2005
175,2005-02-24,토마토,토마토,14333.0,무농약,1,kg,4500,6900,2005
176,2005-02-24,토마토,토마토,13300.0,저농약,1,kg,3200,5800,2005
177,2005-02-24,딸기,딸기,1213.0,유기농,100,g,1000,1320,2005
178,2005-02-24,딸기,딸기,1179.0,무농약,100,g,1000,900,2005
179,2005-02-24,딸기,딸기,1015.0,저농약,100,g,1040,990,2005
180,2005-02-24,당근,무세척,4530.0,유기농,1,kg,3500,5560,2005
181,2005-02-24,당근,무세척,4089.0,무농약,1,kg,2770,5000,2005
182,2005-02-24,당근,무세척,4760.0,저농약,1,kg,4760,4760,2005
183,2005-02-24,당근,세척,4460.0,무농약,1,kg,10320,5160,2005
184,2005-02-24,당근,세척,5160.0,저농약,1,kg,5160,5160,2005
185,2005-02-24,풋고추,풋고추,1385.0,유기농,100,g,1000,1520,2005
186,2005-02-24,풋고추,풋고추,1557.0,무농약,100,g,1000,2000,2005
187,2005-02-24,풋고추,꽈리고추,1600.0,무농약,100,g,1500,1700,2005
188,2005-02-24,풋고추,꽈리고추,1490.0,저농약,100,g,1490,1490,2005
189,2005-02-24,양파,양파,4089.0,무농약,1,kg,10820,5000,2005
190,2005-02-24,파,대파,4514.0,유기농,1,kg,3450,6670,2005
191,2005-02-24,파,대파,6453.0,무농약,1,kg,10900,7330,2005
192,2005-02-24,미나리,미나리,8690.0,무농약,1,kg,10000,9800,2005
193,2005-02-24,깻잎,깻잎,3090.0,유기농,100,g,2400,3900,2005
194,2005-02-24,깻잎,깻잎,3165.0,무농약,100,g,1400,4600,2005
195,2005-02-24,팽이버섯,팽이버섯,604.0,무농약,150,g,1050,747,2005
196,2005-02-24,사과,후지,7000.0,무농약,10,개,7000,7000,2005
197,2005-02-24,사과,후지,6155.0,저농약,10,개,4150,8980,2005
198,2005-02-24,배,신고,7700.0,무농약,10,개,5500,9900,2005
199,2005-02-24,배,신고,4934.0,저농약,10,개,3300,6850,2005
200,2005-02-24,감귤,감귤,5550.0,무농약,10,개,3000,8900,2005
201,2005-02-24,감귤,감귤,3200.0,저농약,10,개,3200,3200,2005
202,2005-02-24,방울토마토,국산,600.0,유기농,1,kg,600,600,2005
203,2005-02-24,방울토마토,국산,936.0,무농약,1,kg,3900,840,2005
204,2005-02-24,방울토마토,국산,460.0,저농약,1,kg,460,460,2005
205,2005-03-10,쌀,일반계,43610.0,유기농,10,kg,42500,45000,2005
206,2005-03-10,쌀,일반계,39021.0,무농약,10,kg,32600,51500,2005
207,2005-03-10,쌀,일반계,28000.0,저농약,10,kg,27500,28500,2005
208,2005-03-10,양배추,양배추,3520.0,유기농,1,포기,3000,4000,2005
209,2005-03-10,양배추,양배추,4032.0,무농약,1,포기,2500,5560,2005
210,2005-03-10,시금치,시금치,8000.0,유기농,1,kg,8000,8000,2005
211,2005-03-10,시금치,시금치,8608.0,무농약,1,kg,10500,9800,2005
212,2005-03-10,시금치,시금치,7250.0,저농약,1,kg,5000,9500,2005
213,2005-03-10,상추,적,980.0,유기농,100,g,980,980,2005
214,2005-03-10,상추,적,1022.0,무농약,100,g,1050,990,2005
215,2005-03-10,상추,적,950.0,저농약,100,g,950,950,2005
216,2005-03-10,상추,청,1113.0,유기농,100,g,1180,980,2005
217,2005-03-10,상추,청,963.0,무농약,100,g,1050,980,2005
218,2005-03-10,상추,청,960.0,저농약,100,g,950,980,2005
219,2005-03-10,참외,참외,8520.0,저농약,10,개,8520,8520,2005
220,2005-03-10,오이,가시계통,5200.0,무농약,10,개,5200,5200,2005
221,2005-03-10,오이,다다기계통,8180.0,유기농,10,개,8180,8180,2005
222,2005-03-10,오이,다다기계통,6712.0,무농약,10,개,4270,8000,2005
223,2005-03-10,오이,다다기계통,10047.0,저농약,10,개,10420,7120,2005
224,2005-03-10,호박,애호박,7320.0,무농약,1,개,10720,9300,2005
225,2005-03-10,토마토,토마토,6800.0,유기농,1,kg,6800,6800,2005
226,2005-03-10,토마토,토마토,13114.0,무농약,1,kg,4500,6900,2005
227,2005-03-10,토마토,토마토,3900.0,저농약,1,kg,3200,4600,2005
228,2005-03-10,딸기,딸기,910.0,유기농,100,g,910,910,2005
229,2005-03-10,딸기,딸기,2195.0,무농약,100,g,1000,910,2005
230,2005-03-10,무,봄,990.0,무농약,1,개,990,990,2005
231,2005-03-10,당근,무세척,4530.0,유기농,1,kg,3500,5560,2005
232,2005-03-10,당근,무세척,4231.0,무농약,1,kg,3160,5160,2005
233,2005-03-10,당근,세척,4114.0,무농약,1,kg,3000,5160,2005
234,2005-03-10,풋고추,풋고추,1419.0,유기농,100,g,1050,1660,2005
235,2005-03-10,풋고추,풋고추,1571.0,무농약,100,g,1300,1980,2005
236,2005-03-10,풋고추,꽈리고추,1653.0,유기농,100,g,1653,1653,2005
237,2005-03-10,풋고추,꽈리고추,1700.0,무농약,100,g,1700,1700,2005
238,2005-03-10,양파,양파,3602.0,무농약,1,kg,2480,4560,2005
239,2005-03-10,파,대파,5040.0,유기농,1,kg,3720,6670,2005
240,2005-03-10,파,대파,6542.0,무농약,1,kg,10900,8330,2005
241,2005-03-10,미나리,미나리,11440.0,무농약,1,kg,10000,9800,2005
242,2005-03-10,깻잎,깻잎,2988.0,유기농,100,g,2500,3380,2005
243,2005-03-10,깻잎,깻잎,3032.0,무농약,100,g,1400,500,2005
244,2005-03-10,팽이버섯,팽이버섯,560.0,무농약,150,g,1050,633,2005
245,2005-03-10,사과,후지,6023.0,저농약,10,개,3817,7900,2005
246,2005-03-10,배,신고,9900.0,무농약,10,개,9900,9900,2005
247,2005-03-10,배,신고,4910.0,저농약,10,개,3300,6850,2005
248,2005-03-10,감귤,감귤,7100.0,무농약,10,개,6220,7980,2005
249,2005-03-10,감귤,감귤,3200.0,저농약,10,개,3200,3200,2005
250,2005-03-10,방울토마토,국산,600.0,유기농,1,kg,600,600,2005
251,2005-03-10,방울토마토,국산,1112.0,무농약,1,kg,1440,960,2005
252,2005-03-10,방울토마토,국산,540.0,저농약,1,kg,540,540,2005
253,2005-03-24,쌀,일반계,46986.0,유기농,10,kg,42500,52500,2005
254,2005-03-24,쌀,일반계,38820.0,무농약,10,kg,32600,51500,2005
255,2005-03-24,쌀,일반계,31150.0,저농약,10,kg,27500,38800,2005
256,2005-03-24,양배추,양배추,3250.0,유기농,1,포기,3000,3500,2005
257,2005-03-24,양배추,양배추,3798.0,무농약,1,포기,2500,5000,2005
258,2005-03-24,시금치,시금치,8833.0,유기농,1,kg,8000,9500,2005
259,2005-03-24,시금치,시금치,8175.0,무농약,1,kg,10500,9600,2005
260,2005-03-24,상추,적,965.0,유기농,100,g,950,980,2005
261,2005-03-24,상추,적,997.0,무농약,100,g,1050,987,2005
262,2005-03-24,상추,청,1110.0,유기농,100,g,1190,950,2005
263,2005-03-24,상추,청,974.0,무농약,100,g,1050,987,2005
264,2005-03-24,참외,참외,9150.0,저농약,10,개,8900,9400,2005
265,2005-03-24,오이,가시계통,3240.0,무농약,10,개,1280,5200,2005
266,2005-03-24,오이,다다기계통,9323.0,무농약,10,개,10160,9600,2005
267,2005-03-24,오이,다다기계통,11510.0,저농약,10,개,10420,12600,2005
268,2005-03-24,호박,애호박,8633.0,무농약,1,개,10720,9920,2005
269,2005-03-24,토마토,토마토,5500.0,유기농,1,kg,5000,6000,2005
270,2005-03-24,토마토,토마토,13071.0,무농약,1,kg,4500,6900,2005
271,2005-03-24,토마토,토마토,4850.0,저농약,1,kg,4400,6000,2005
272,2005-03-24,딸기,딸기,1200.0,유기농,100,g,1500,900,2005
273,2005-03-24,딸기,딸기,1117.0,무농약,100,g,1000,920,2005
274,2005-03-24,딸기,딸기,2900.0,저농약,100,g,2900,2900,2005
275,2005-03-24,당근,무세척,3853.0,유기농,1,kg,2500,5560,2005
276,2005-03-24,당근,무세척,4135.0,무농약,1,kg,2960,5000,2005
277,2005-03-24,당근,세척,4516.0,무농약,1,kg,3120,5160,2005
278,2005-03-24,풋고추,풋고추,1388.0,유기농,100,g,1370,990,2005
279,2005-03-24,풋고추,풋고추,1541.0,무농약,100,g,1140,2000,2005
280,2005-03-24,풋고추,꽈리고추,1500.0,무농약,100,g,1500,1500,2005
281,2005-03-24,양파,양파,3626.0,무농약,1,kg,2480,4560,2005
282,2005-03-24,파,대파,7885.0,유기농,1,kg,11270,7800,2005
283,2005-03-24,파,대파,5735.0,무농약,1,kg,10900,8330,2005
284,2005-03-24,파,쪽파,7260.0,무농약,1,kg,7260,7260,2005
285,2005-03-24,미나리,미나리,11271.0,무농약,1,kg,10000,9800,2005
286,2005-03-24,깻잎,깻잎,3104.0,유기농,100,g,2450,3400,2005
287,2005-03-24,깻잎,깻잎,3290.0,무농약,100,g,1400,5000,2005
288,2005-03-24,팽이버섯,팽이버섯,512.0,무농약,150,g,1050,585,2005
289,2005-03-24,사과,후지,10538.0,저농약,10,개,10600,7900,2005
290,2005-03-24,배,신고,4832.0,저농약,10,개,3300,6850,2005
291,2005-03-24,감귤,감귤,7728.0,무농약,10,개,7475,7980,2005
292,2005-03-24,감귤,감귤,4700.0,저농약,10,개,4700,4700,2005
293,2005-03-24,방울토마토,국산,600.0,유기농,1,kg,600,600,2005
294,2005-03-24,방울토마토,국산,641.0,무농약,1,kg,500,800,2005
295,2005-03-24,방울토마토,국산,599.0,저농약,1,kg,596,600,2005
296,2005-04-07,쌀,일반계,43610.0,유기농,10,kg,42500,45000,2005
297,2005-04-07,쌀,일반계,40858.0,무농약,10,kg,32600,59000,2005
298,2005-04-07,쌀,일반계,28000.0,저농약,10,kg,27500,28500,2005
299,2005-04-07,양배추,양배추,3072.0,유기농,1,포기,2350,3580,2005
300,2005-04-07,양배추,양배추,3703.0,무농약,1,포기,2500,5000,2005
301,2005-04-07,시금치,시금치,9820.0,유기농,1,kg,10000,9500,2005
302,2005-04-07,시금치,시금치,7922.0,무농약,1,kg,12900,9800,2005
303,2005-04-07,상추,적,937.0,유기농,100,g,850,980,2005
304,2005-04-07,상추,적,1061.0,무농약,100,g,1180,987,2005
305,2005-04-07,상추,청,1068.0,유기농,100,g,1000,980,2005
306,2005-04-07,상추,청,950.0,무농약,100,g,1180,987,2005
307,2005-04-07,참외,참외,9730.0,저농약,10,개,11970,9400,2005
308,2005-04-07,오이,가시계통,4140.0,무농약,10,개,4140,4140,2005
309,2005-04-07,오이,다다기계통,8605.0,무농약,10,개,10900,9170,2005
310,2005-04-07,오이,다다기계통,7635.0,저농약,10,개,4960,9260,2005
311,2005-04-07,오이,취청,7267.0,무농약,10,개,7267,7267,2005
312,2005-04-07,호박,애호박,7786.0,무농약,1,개,11290,9920,2005
313,2005-04-07,토마토,토마토,5000.0,유기농,1,kg,5000,5000,2005
314,2005-04-07,토마토,토마토,5340.0,무농약,1,kg,3500,6800,2005
315,2005-04-07,토마토,토마토,5998.0,저농약,1,kg,3990,8200,2005
